Dataset 1,Dataset 2,Correlation,Overlapping observations,Category 1,Category 2,Overlap start,Overlap end
Average Weekly Hours — Manufacturing,Average Hourly Earnings — Total Private,-0.6890722412572714,245,Labor,Labor,2006-04-01,2026-08-01
Average Weekly Hours — Manufacturing,CPI All Items,0.05561853513873452,953,Labor,Inflation,1947-02-01,2026-08-01
Average Weekly Hours — Manufacturing,Core CPI,0.03990204081712142,833,Labor,Inflation,1957-02-01,2026-08-01
Average Weekly Hours — Manufacturing,PCE Price Index,0.054047451657555964,810,Labor,Inflation,1959-02-01,2026-07-01
Average Weekly Hours — Manufacturing,Core PCE Price Index,0.02001721907017684,810,Labor,Inflation,1959-02-01,2026-07-01
Average Weekly Hours — Manufacturing,Producer Prices — Final Demand,0.27837276642395453,201,Labor,Inflation,2009-12-01,2026-08-01
Average Weekly Hours — Manufacturing,Producer Prices — All Commodities,0.1172730886403176,1051,Labor,Inflation,1939-02-01,2026-08-01
Average Weekly Hours — Manufacturing,Commercial & Industrial Loans,-0.15879010880685274,955,Labor,Credit,1947-02-01,2026-08-01
Average Weekly Hours — Manufacturing,Consumer Credit,0.039457149556572334,1002,Labor,Credit,1943-02-01,2026-07-01
Average Weekly Hours — Manufacturing,Federal Funds Rate,0.13287957437239126,865,Labor,Policy / Liquidity,1954-08-01,2026-08-01
Average Weekly Hours — Manufacturing,Total Bank Reserves,-0.12942442541171492,810,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Average Weekly Hours — Manufacturing,M2 Money Supply,-0.1299750982577365,810,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Average Weekly Hours — Manufacturing,Total Capacity Utilization,0.5666366785991844,714,Labor,External / Structural,1967-02-01,2026-07-01
Job Openings,Labor Force Participation Rate,0.3112883396333262,305,Labor,Labor,2001-01-01,2026-07-01
Job Openings,Average Hourly Earnings — Total Private,-0.3005026208864948,244,Labor,Labor,2006-04-01,2026-07-01
Job Openings,CPI All Items,0.1173221354593566,305,Labor,Inflation,2001-01-01,2026-07-01
Job Openings,Core CPI,0.0735775303755275,305,Labor,Inflation,2001-01-01,2026-07-01
Job Openings,PCE Price Index,0.0957021892455188,307,Labor,Inflation,2001-01-01,2026-07-01
Job Openings,Core PCE Price Index,0.04100629100232384,307,Labor,Inflation,2001-01-01,2026-07-01
Job Openings,Producer Prices — Final Demand,0.2938363594155655,200,Labor,Inflation,2009-12-01,2026-07-01
Job Openings,Producer Prices — All Commodities,0.2118472659635792,307,Labor,Inflation,2001-01-01,2026-07-01
Job Openings,Commercial & Industrial Loans,-0.16294445698566926,307,Labor,Credit,2001-01-01,2026-07-01
Job Openings,Consumer Credit,0.09060554060230425,307,Labor,Credit,2001-01-01,2026-07-01
Job Openings,Federal Funds Rate,0.1664405802711169,307,Labor,Policy / Liquidity,2001-01-01,2026-07-01
Job Openings,Total Bank Reserves,-0.07782653993159477,307,Labor,Policy / Liquidity,2001-01-01,2026-07-01
Job Openings,M2 Money Supply,-0.03331409587644981,307,Labor,Policy / Liquidity,2001-01-01,2026-07-01
Job Openings,Total Capacity Utilization,0.34757408392030065,307,Labor,External / Structural,2001-01-01,2026-07-01
Labor Force Participation Rate,Average Hourly Earnings — Total Private,-0.6638326995424982,243,Labor,Labor,2006-04-01,2026-08-01
Labor Force Participation Rate,CPI All Items,0.09400078154167278,941,Labor,Inflation,1948-02-01,2026-08-01
Labor Force Participation Rate,Core CPI,0.10308219074819068,833,Labor,Inflation,1957-02-01,2026-08-01
Labor Force Participation Rate,PCE Price Index,0.1280783377051994,808,Labor,Inflation,1959-02-01,2026-07-01
Labor Force Participation Rate,Core PCE Price Index,0.1142522812718365,808,Labor,Inflation,1959-02-01,2026-07-01
Labor Force Participation Rate,Producer Prices — Final Demand,0.23971688736311084,199,Labor,Inflation,2009-12-01,2026-08-01
Labor Force Participation Rate,Producer Prices — All Commodities,0.11147308787497087,941,Labor,Inflation,1948-02-01,2026-08-01
Labor Force Participation Rate,Commercial & Industrial Loans,-0.15335853264158436,941,Labor,Credit,1948-02-01,2026-08-01
Labor Force Participation Rate,Consumer Credit,0.11805984060351014,940,Labor,Credit,1948-02-01,2026-07-01
Labor Force Participation Rate,Federal Funds Rate,0.04719375235939425,863,Labor,Policy / Liquidity,1954-08-01,2026-08-01
Labor Force Participation Rate,Total Bank Reserves,-0.09438631312430584,808,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Labor Force Participation Rate,M2 Money Supply,-0.19473048403149898,808,Labor,Policy / Liquidity,1959-02-01,2026-07-01
Labor Force Participation Rate,Total Capacity Utilization,0.35335291921285933,712,Labor,External / Structural,1967-02-01,2026-07-01
Average Hourly Earnings — Total Private,CPI All Items,-0.11821560185292994,243,Labor,Inflation,2006-04-01,2026-08-01
Average Hourly Earnings — Total Private,Core CPI,-0.07785871111631516,243,Labor,Inflation,2006-04-01,2026-08-01
Average Hourly Earnings — Total Private,PCE Price Index,-0.07894122588095925,244,Labor,Inflation,2006-04-01,2026-07-01
Average Hourly Earnings — Total Private,Core PCE Price Index,-0.0677818774278459,244,Labor,Inflation,2006-04-01,2026-07-01
Average Hourly Earnings — Total Private,Producer Prices — Final Demand,-0.15805842838196746,201,Labor,Inflation,2009-12-01,2026-08-01
Average Hourly Earnings — Total Private,Producer Prices — All Commodities,-0.18901166762888374,245,Labor,Inflation,2006-04-01,2026-08-01
Average Hourly Earnings — Total Private,Commercial & Industrial Loans,0.4892904136007625,245,Labor,Credit,2006-04-01,2026-08-01
Average Hourly Earnings — Total Private,Consumer Credit,-0.1235361246062711,244,Labor,Credit,2006-04-01,2026-07-01
Average Hourly Earnings — Total Private,Federal Funds Rate,-0.1958004356686028,245,Labor,Policy / Liquidity,2006-04-01,2026-08-01
Average Hourly Earnings — Total Private,Total Bank Reserves,0.10484167485085234,244,Labor,Policy / Liquidity,2006-04-01,2026-07-01
Average Hourly Earnings — Total Private,M2 Money Supply,0.33631179448879694,244,Labor,Policy / Liquidity,2006-04-01,2026-07-01
Average Hourly Earnings — Total Private,Total Capacity Utilization,-0.6826167127931392,244,Labor,External / Structural,2006-04-01,2026-07-01
CPI All Items,Core CPI,0.6788806538636484,833,Inflation,Inflation,1957-02-01,2026-08-01
CPI All Items,PCE Price Index,0.9112860212995306,808,Inflation,Inflation,1959-02-01,2026-07-01
CPI All Items,Core PCE Price Index,0.6600767843777489,808,Inflation,Inflation,1959-02-01,2026-07-01
CPI All Items,Producer Prices — Final Demand,0.666551411246557,199,Inflation,Inflation,2009-12-01,2026-08-01
CPI All Items,Producer Prices — All Commodities,0.628779899887736,953,Inflation,Inflation,1947-02-01,2026-08-01
CPI All Items,Commercial & Industrial Loans,0.12833645155633697,953,Inflation,Credit,1947-02-01,2026-08-01
CPI All Items,Consumer Credit,0.1339916869168439,952,Inflation,Credit,1947-02-01,2026-07-01
CPI All Items,Federal Funds Rate,0.07268946611435008,863,Inflation,Policy / Liquidity,1954-08-01,2026-08-01
CPI All Items,Total Bank Reserves,-0.22207563612008488,808,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
CPI All Items,M2 Money Supply,-0.08251721005083751,808,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
CPI All Items,Total Capacity Utilization,0.07250282232443807,712,Inflation,External / Structural,1967-02-01,2026-07-01
Core CPI,PCE Price Index,0.6510270525516043,808,Inflation,Inflation,1959-02-01,2026-07-01
Core CPI,Core PCE Price Index,0.7766688298528464,808,Inflation,Inflation,1959-02-01,2026-07-01
Core CPI,Producer Prices — Final Demand,0.3414931446907552,199,Inflation,Inflation,2009-12-01,2026-08-01
Core CPI,Producer Prices — All Commodities,0.22804085123888865,833,Inflation,Inflation,1957-02-01,2026-08-01
Core CPI,Commercial & Industrial Loans,0.04690592823137368,833,Inflation,Credit,1957-02-01,2026-08-01
Core CPI,Consumer Credit,0.10196022089919612,832,Inflation,Credit,1957-02-01,2026-07-01
Core CPI,Federal Funds Rate,0.08785987118034047,833,Inflation,Policy / Liquidity,1957-02-01,2026-08-01
Core CPI,Total Bank Reserves,-0.08433507502020103,808,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
Core CPI,M2 Money Supply,-0.04320515111880654,808,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
Core CPI,Total Capacity Utilization,0.026062102261903107,712,Inflation,External / Structural,1967-02-01,2026-07-01
PCE Price Index,Core PCE Price Index,0.8306264240669015,810,Inflation,Inflation,1959-02-01,2026-07-01
PCE Price Index,Producer Prices — Final Demand,0.7330845307753344,200,Inflation,Inflation,2009-12-01,2026-07-01
PCE Price Index,Producer Prices — All Commodities,0.6195002613184067,810,Inflation,Inflation,1959-02-01,2026-07-01
PCE Price Index,Commercial & Industrial Loans,0.06948887134138872,810,Inflation,Credit,1959-02-01,2026-07-01
PCE Price Index,Consumer Credit,0.1314327419261388,810,Inflation,Credit,1959-02-01,2026-07-01
PCE Price Index,Federal Funds Rate,0.08193747628977024,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
PCE Price Index,Total Bank Reserves,-0.23065600429193908,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
PCE Price Index,M2 Money Supply,-0.035938593891352455,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
PCE Price Index,Total Capacity Utilization,0.05751593068160759,714,Inflation,External / Structural,1967-02-01,2026-07-01
Core PCE Price Index,Producer Prices — Final Demand,0.536217923135199,200,Inflation,Inflation,2009-12-01,2026-07-01
Core PCE Price Index,Producer Prices — All Commodities,0.30561083546659157,810,Inflation,Inflation,1959-02-01,2026-07-01
Core PCE Price Index,Commercial & Industrial Loans,0.05299123663421378,810,Inflation,Credit,1959-02-01,2026-07-01
Core PCE Price Index,Consumer Credit,0.09151753520382246,810,Inflation,Credit,1959-02-01,2026-07-01
Core PCE Price Index,Federal Funds Rate,0.0564506777183369,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
Core PCE Price Index,Total Bank Reserves,-0.1457899420476925,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
Core PCE Price Index,M2 Money Supply,0.009742835220203484,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
Core PCE Price Index,Total Capacity Utilization,0.025936379787630783,714,Inflation,External / Structural,1967-02-01,2026-07-01
Producer Prices — Final Demand,Producer Prices — All Commodities,0.8148299672153587,201,Inflation,Inflation,2009-12-01,2026-08-01
Producer Prices — Final Demand,Commercial & Industrial Loans,-0.23606241367543807,201,Inflation,Credit,2009-12-01,2026-08-01
Producer Prices — Final Demand,Consumer Credit,0.14390148327234523,200,Inflation,Credit,2009-12-01,2026-07-01
Producer Prices — Final Demand,Federal Funds Rate,0.1212060928251608,201,Inflation,Policy / Liquidity,2009-12-01,2026-08-01
Producer Prices — Final Demand,Total Bank Reserves,-0.14705705910795633,200,Inflation,Policy / Liquidity,2009-12-01,2026-07-01
Producer Prices — Final Demand,M2 Money Supply,-0.09258894623280722,200,Inflation,Policy / Liquidity,2009-12-01,2026-07-01
Producer Prices — Final Demand,Total Capacity Utilization,0.29833071251285853,200,Inflation,External / Structural,2009-12-01,2026-07-01
Producer Prices — All Commodities,Commercial & Industrial Loans,0.03292646037900039,955,Inflation,Credit,1947-02-01,2026-08-01
Producer Prices — All Commodities,Consumer Credit,0.1969419626102434,1002,Inflation,Credit,1943-02-01,2026-07-01
Producer Prices — All Commodities,Federal Funds Rate,0.09194567666688681,865,Inflation,Policy / Liquidity,1954-08-01,2026-08-01
Producer Prices — All Commodities,Total Bank Reserves,-0.27625262879694024,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
Producer Prices — All Commodities,M2 Money Supply,-0.06842825969703098,810,Inflation,Policy / Liquidity,1959-02-01,2026-07-01
Producer Prices — All Commodities,Total Capacity Utilization,0.1808445263300406,714,Inflation,External / Structural,1967-02-01,2026-07-01
Commercial & Industrial Loans,Consumer Credit,0.1984012656750437,954,Credit,Credit,1947-02-01,2026-07-01
Commercial & Industrial Loans,Federal Funds Rate,0.14320513349222724,865,Credit,Policy / Liquidity,1954-08-01,2026-08-01
Commercial & Industrial Loans,Total Bank Reserves,0.15054802138631712,810,Credit,Policy / Liquidity,1959-02-01,2026-07-01
Commercial & Industrial Loans,M2 Money Supply,0.3457328843401355,810,Credit,Policy / Liquidity,1959-02-01,2026-07-01
Commercial & Industrial Loans,Total Capacity Utilization,-0.32659894691098124,714,Credit,External / Structural,1967-02-01,2026-07-01
Consumer Credit,Federal Funds Rate,0.16419692580964398,864,Credit,Policy / Liquidity,1954-08-01,2026-07-01
Consumer Credit,Total Bank Reserves,-0.08928416231726113,810,Credit,Policy / Liquidity,1959-02-01,2026-07-01
Consumer Credit,M2 Money Supply,-0.03386952363735437,810,Credit,Policy / Liquidity,1959-02-01,2026-07-01
Consumer Credit,Total Capacity Utilization,0.2083421731651013,714,Credit,External / Structural,1967-02-01,2026-07-01
Federal Funds Rate,Total Bank Reserves,-0.07315115301117733,810,Policy / Liquidity,Policy / Liquidity,1959-02-01,2026-07-01
Federal Funds Rate,M2 Money Supply,-0.1334671560296484,810,Policy / Liquidity,Policy / Liquidity,1959-02-01,2026-07-01
Federal Funds Rate,Total Capacity Utilization,0.23716669013115924,714,Policy / Liquidity,External / Structural,1967-02-01,2026-07-01
Total Bank Reserves,M2 Money Supply,0.20125192526747585,810,Policy / Liquidity,Policy / Liquidity,1959-02-01,2026-07-01
Total Bank Reserves,Total Capacity Utilization,-0.17890575325543892,714,Policy / Liquidity,External / Structural,1967-02-01,2026-07-01
M2 Money Supply,Total Capacity Utilization,-0.23912859976735584,714,Policy / Liquidity,External / Structural,1967-02-01,2026-07-01
